provincia,carretera,pk_inicio,pk_fin,imd_total,imd_pesado,porcentaje_pesados,tramo
Pontevedra,PO-11,0.0,0.1,24227.0,1485.0,6.13,PO-11 (PK 0.0 a 0.1)
Ourense,A-56,48525,48.85,1397.0,193.0,13.82,A-56 (PK 48.525 a 48.85)
Ourense,A-56,48.85,49105,1397.0,193.0,13.82,A-56 (PK 48.85 a 49.105)
Huelva,H-30,0.0,0.3,14604.0,891.0,6.1,H-30 (PK 0.0 a 0.3)
Burgos,N-1,253.5,254.0,2738.0,724.0,26.44,N-1 (PK 253.5 a 254.0)
La Rioja,N-120,45883,46.35,3969.0,1513.0,38.12,N-120 (PK 45.883 a 46.35)
Girona,N-2,747.7,747.8,5730.0,328.0,5.72,N-2 (PK 747.7 a 747.8)
Huesca,N-240,204.5,205.0,12186.0,1438.0,11.8,N-240 (PK 204.5 a 205.0)
Huesca,N-260,432.6,433.6,1882.0,92.0,4.89,N-260 (PK 432.6 a 433.6)
Albacete,N-322A,406.1,406.3,1569.0,52.0,3.31,N-322A (PK 406.1 a 406.3)
Tarragona,N-340A,1203479,1203845,136.0,11.0,8.09,N-340A (PK 1203.479 a 1203.845)
Córdoba,N-4,424.3,424.6,3195.0,307.0,9.61,N-4 (PK 424.3 a 424.6)
Toledo,N-400,24.2,24.32,8098.0,912.0,11.26,N-400 (PK 24.2 a 24.32)
Ávila,N-403,82.9,83.2,5593.0,270.0,4.83,N-403 (PK 82.9 a 83.2)
Badajoz,N-430,92.0,92.2,8392.0,1360.0,16.21,N-430 (PK 92.0 a 92.2)
Córdoba,N-432,315.2,315.4,3783.0,505.0,13.35,N-432 (PK 315.2 a 315.4)
Ourense,N-525,260.6,260.9,2550.0,203.0,7.96,N-525 (PK 260.6 a 260.9)
Lugo,N-540,21.1,21.5,4742.0,682.0,14.38,N-540 (PK 21.1 a 21.5)
Pontevedra,N-550A,98.2,98.4,5544.0,494.0,8.91,N-550A (PK 98.2 a 98.4)
A Coruña,N-6,576.6,576.8,15162.0,1754.0,11.57,N-6 (PK 576.6 a 576.8)
A Coruña,N-6,579.4,579.6,15162.0,1754.0,11.57,N-6 (PK 579.4 a 579.6)
A Coruña,N-6,579.6,580.0,15162.0,1754.0,11.57,N-6 (PK 579.6 a 580.0)
Valladolid,N-601,233.2,233.7,5823.0,677.0,11.63,N-601 (PK 233.2 a 233.7)
León,N-601,292.0,292.2,2478.0,426.0,17.19,N-601 (PK 292.0 a 292.2)
León,N-601,310.5,310.8,4172.0,214.0,5.13,N-601 (PK 310.5 a 310.8)
León,N-601,315.5,315.8,3887.0,175.0,4.5,N-601 (PK 315.5 a 315.8)
Palencia,N-622,89.0,89.23,683.0,127.0,18.59,N-622 (PK 89.0 a 89.23)
Palencia,N-627,68.1,68.7,298.0,46.0,15.44,N-627 (PK 68.1 a 68.7)
Palencia,N-627,72.1,72.3,298.0,46.0,15.44,N-627 (PK 72.1 a 72.3)
León,N-630,87.11,87.6,2457.0,172.0,7.0,N-630 (PK 87.11 a 87.6)
Asturias,N-634,484.6,484.7,369.0,116.0,31.44,N-634 (PK 484.6 a 484.7)
Lugo,N-634,560.2,560.8,6234.0,290.0,4.65,N-634 (PK 560.2 a 560.8)
A Coruña,N-6A,583.06,583.1,5128.0,559.0,10.9,N-6A (PK 583.06 a 583.1)
León,A-60,103.38,104.4,7023.0,1440.0,20.5,A-60 (PK 103.38 a 104.4)
Asturias,A-64,26.3,26.8,31569.0,1532.0,4.85,A-64 (PK 26.3 a 26.8)
A Coruña,AC-11,2.1,2.6,115483.0,5237.0,4.53,AC-11 (PK 2.1 a 2.6)
Badajoz,BA-20,7.0,7.69,25501.0,1149.0,4.51,BA-20 (PK 7.0 a 7.69)
León,LE-11,1.35,1.9,15852.0,727.0,4.59,LE-11 (PK 1.35 a 1.9)
Burgos,N-1,329.4,330.3,632.0,203.0,32.12,N-1 (PK 329.4 a 330.3)
Ávila,N-110,324.5,324.6,1832.0,139.0,7.59,N-110 (PK 324.5 a 324.6)
Zamora,N-122,493.7,494.2,3846.0,1076.0,27.98,N-122 (PK 493.7 a 494.2)
Guadalajara,N-211,66.5,66.9,2168.0,474.0,21.86,N-211 (PK 66.5 a 66.9)
Teruel,N-211,107.8,108.45,2538.0,505.0,19.9,N-211 (PK 107.8 a 108.45)
Teruel,N-232,140.3,141.0,5668.0,599.0,10.57,N-232 (PK 140.3 a 141.0)
La Rioja,N-232,330875,331.9,10309.0,1509.0,14.64,N-232 (PK 330.875 a 331.9)
Ciudad Real,N-310,53.2,53.3,2826.0,336.0,11.89,N-310 (PK 53.2 a 53.3)
Zaragoza,N-330,420.2,420.4,333.0,125.0,37.54,N-330 (PK 420.2 a 420.4)
Huesca,N-330,537.9,538.6,368.0,48.0,13.04,N-330 (PK 537.9 a 538.6)
Tarragona,N-340,1058.41,1058.45,6476.0,382.0,5.9,N-340 (PK 1058.41 a 1058.45)
Córdoba,N-432,340.8,341.0,5505.0,930.0,16.89,N-432 (PK 340.8 a 341.0)
León,N-6,317.0,317.3,1843.0,188.0,10.2,N-6 (PK 317.0 a 317.3)
León,N-601,279.1,279.3,2710.0,487.0,17.97,N-601 (PK 279.1 a 279.3)
Palencia,N-611,68.9,69.2,705.0,137.0,19.43,N-611 (PK 68.9 a 69.2)
Burgos,N-620A,21.5,21.6,1773.0,274.0,15.45,N-620A (PK 21.5 a 21.6)
León,N-621,75.3,75.5,1336.0,89.0,6.66,N-621 (PK 75.3 a 75.5)
